benign.location_x,forward.location_x,reverse.location_x
19.552837371826172,-54.578739166259766,-84.08457946777344
19.84402847290039,-54.55583190917969,-84.1091079711914
20.120962142944336,-54.528587341308594,-84.13821411132812
20.409709930419922,-54.502685546875,-84.16699981689453
20.712100982666016,-54.47755432128906,-84.19349670410156
21.054758071899414,-54.44681930541992,-84.22747039794922
21.36353302001953,-54.419715881347656,-84.26121520996094
21.721662521362305,-54.39741516113281,-84.28545379638672
22.14234161376953,-54.37482452392578,-84.3102035522461
22.47348976135254,-54.350555419921875,-84.33523559570312
23.1553955078125,-54.32813262939453,-84.35932159423828
23.459632873535156,-54.30504608154297,-84.3843994140625
23.7470703125,-54.28193664550781,-84.40929412841797
24.122352600097656,-54.25651550292969,-84.4330825805664
24.44521713256836,-54.23390579223633,-84.4580078125
24.72691535949707,-54.211849212646484,-84.4826431274414
24.996871948242188,-54.18971252441406,-84.50782012939453
25.257532119750977,-54.16734313964844,-84.53438568115234
25.515193939208984,-54.14204788208008,-84.5623550415039
25.84041404724121,-54.11354064941406,-84.59407043457031
26.149118423461914,-54.07832717895508,-84.622314453125
26.751537322998047,-54.016170501708984,-84.65302276611328
27.044443130493164,-53.99208450317383,-84.68199920654297
27.355619430541992,-53.9645881652832,-84.71041870117188
27.812856674194336,-53.93696975708008,-84.73609161376953
28.146930694580078,-53.91289520263672,-84.76102447509766
28.443483352661133,-53.88181686401367,-84.78929138183594
28.70608901977539,-53.8529052734375,-84.81450653076172
29.017107009887695,-53.83030700683594,-84.83942413330078
29.29998779296875,-53.80613327026367,-84.86495971679688
29.589052200317383,-53.78144073486328,-84.88948059082031
29.89646339416504,-53.75694274902344,-84.91642761230469
30.15791893005371,-53.72976303100586,-84.94312286376953
30.47635269165039,-53.70322799682617,-84.96903228759766
30.766830444335938,-53.674564361572266,-84.99848175048828
31.0816593170166,-53.64282989501953,-85.03067016601562
31.370811462402344,-53.609745025634766,-85.06024169921875
31.703609466552734,-53.57465362548828,-85.09797668457031
32.03596496582031,-53.54484176635742,-85.12464904785156
32.387149810791016,-53.48686981201172,-85.14991760253906
33.02666091918945,-53.4595947265625,-85.17527770996094
33.397193908691406,-53.42646789550781,-85.20308685302734
33.71131134033203,-53.396820068359375,-85.23046875
33.989593505859375,-53.3651123046875,-85.25664520263672
34.3286018371582,-53.334232330322266,-85.28273010253906
34.62139892578125,-53.30609130859375,-85.30862426757812
34.942466735839844,-53.27713394165039,-85.33409118652344
35.31574249267578,-53.24018478393555,-85.36066436767578
35.630062103271484,-53.209442138671875,-85.38613891601562
35.894432067871094,-53.182796478271484,-85.41520690917969
36.17778015136719,-53.15505599975586,-85.44570922851562
36.55363464355469,-53.12999725341797,-85.47850036621094
37.18318176269531,-53.10471725463867,-85.53112030029297
37.481353759765625,-53.079124450683594,-85.54753112792969
38.08012008666992,-53.05497741699219,-85.56232452392578
38.37007522583008,-53.03059768676758,-85.57772064208984
39.114097595214844,-53.00161361694336,-85.59296417236328
39.53689956665039,-52.97591781616211,-85.61148071289062
39.89970779418945,-52.94865417480469,-85.63075256347656
40.49095916748047,-52.92173385620117,-85.6478271484375
40.79662322998047,-52.89506149291992,-85.66494750976562
41.11945724487305,-52.86962890625,-85.6822509765625
41.716453552246094,-52.842987060546875,-85.70036315917969
42.01767349243164,-52.80537796020508,-85.72179412841797
42.6422004699707,-52.778480529785156,-85.74248504638672
42.99991989135742,-52.75344467163086,-85.76091003417969
43.4114875793457,-52.72948455810547,-85.78172302246094
43.735191345214844,-52.70318603515625,-85.80374145507812
44.449520111083984,-52.67910385131836,-85.82206726074219
44.76620101928711,-52.65669631958008,-85.84062194824219
45.15252685546875,-52.63438034057617,-85.85906219482422
45.51066207885742,-52.61136245727539,-85.87761688232422
45.88286590576172,-52.5873908996582,-85.89673614501953
46.71024703979492,-52.563232421875,-85.91627502441406
47.38102340698242,-52.53640365600586,-85.93535614013672
47.78173828125,-52.511844635009766,-85.95658874511719
48.29670715332031,-52.48750686645508,-85.97673034667969
49.02063751220703,-52.46085739135742,-85.99739074707031
49.322322845458984,-52.43589782714844,-86.01786041259766
49.76067352294922,-52.410701751708984,-86.04158020019531
50.19160842895508,-52.38837432861328,-86.0654296875
50.58437728881836,-52.36502456665039,-86.088134765625
50.96561813354492,-52.342288970947266,-86.11641693115234
51.312870025634766,-52.31782531738281,-86.14185333251953
51.621341705322266,-52.2941780090332,-86.16371154785156
51.93257141113281,-52.27057647705078,-86.18607330322266
52.198909759521484,-52.247406005859375,-86.20763397216797
52.50872802734375,-52.2226448059082,-86.23027801513672
52.86805725097656,-52.19533920288086,-86.25276184082031
53.19163513183594,-52.16922378540039,-86.27581787109375
53.505950927734375,-52.143402099609375,-86.29877471923828
53.99696350097656,-52.06920623779297,-86.32530212402344
54.31214904785156,-52.03880310058594,-86.35115051269531
54.60779571533203,-52.01164245605469,-86.37957000732422
54.94756317138672,-51.98788833618164,-86.40631866455078
55.22075653076172,-51.9648323059082,-86.43550872802734
55.605194091796875,-51.94091033935547,-86.46686553955078
55.87982940673828,-51.90880584716797,-86.49385833740234
56.18448257446289,-51.883880615234375,-86.52284240722656
56.52324676513672,-51.86107635498047,-86.55436706542969
56.94516372680664,-51.83705139160156,-86.57806396484375
57.56999206542969,-51.81311798095703,-86.60209655761719
57.85162353515625,-51.78845977783203,-86.62747192382812
58.22368621826172,-51.76203536987305,-86.65184020996094
58.581356048583984,-51.72786331176758,-86.67533111572266
58.879695892333984,-51.69774627685547,-86.69850158691406
59.28050994873047,-51.66944885253906,-86.72200775146484
59.60963821411133,-51.63397216796875,-86.74976348876953
59.884212493896484,-51.60320281982422,-86.77531433105469
60.20783233642578,-51.57444381713867,-86.79952239990234
60.5044059753418,-51.54661560058594,-86.82307434082031
60.821537017822266,-51.51607131958008,-86.8499526977539
61.11371994018555,-51.48245620727539,-86.88142395019531
61.433231353759766,-51.44192886352539,-86.90959167480469
61.736419677734375,-51.398704528808594,-86.9334487915039
62.04865264892578,-51.34977722167969,-86.95760345458984
62.287044525146484,-51.29679489135742,-86.98092651367188
62.92466354370117,-51.23373794555664,-87.00682067871094
63.53611755371094,-51.14516067504883,-87.03253936767578
64.13922882080078,-51.056678771972656,-87.05918884277344
64.46574401855469,-50.95641326904297,-87.09036254882812
64.77900695800781,-50.83253479003906,-87.12445831298828
65.08184051513672,-50.71659469604492,-87.16890716552734
65.40229797363281,-50.60037612915039,-87.21798706054688
65.70497131347656,-50.47661209106445,-87.27067565917969
66.00483703613281,-50.34028625488281,-87.34580993652344
66.27070617675781,-50.1920051574707,-87.47804260253906
66.9538345336914,-50.01770782470703,-87.61817169189453
67.53878021240234,-49.850677490234375,-87.7325668334961
67.82276916503906,-49.67702102661133,-87.83135223388672
68.10867309570312,-49.50992202758789,-87.9354476928711
68.4650650024414,-49.32280349731445,-88.04460144042969
68.75216674804688,-49.12276077270508,-88.20640563964844
69.06221008300781,-48.930110931396484,-88.38326263427734
69.40972137451172,-48.73896789550781,-88.53244018554688
69.69511413574219,-48.53929138183594,-88.68280029296875
70.06019592285156,-48.33266067504883,-88.84001922607422
70.31588745117188,-48.125579833984375,-89.02483367919922
70.58507537841797,-47.85233688354492,-89.24104309082031
