benign_rotation,replay_rotation
-8.573343276977539,-46.10593795776367
-8.405985832214355,-46.10593795776367
-8.205758094787598,-46.10593795776367
-7.898752212524414,-46.10593795776367
-7.620187282562256,-46.10593795776367
-7.302557945251465,-46.10593795776367
-6.972540378570557,-46.10593795776367
-6.727789402008057,-46.10593795776367
-6.526859760284424,-46.10593795776367
-6.35040807723999,-46.10593795776367
-6.112797260284424,-46.10593795776367
-5.809970378875732,-46.10593795776367
-5.504275798797607,-46.10593795776367
-5.246066570281982,-46.10593795776367
-5.012545585632324,-46.10593795776367
-4.810518741607666,-46.10593795776367
-4.655336856842041,-46.10593795776367
-4.451234340667725,-46.10593795776367
-4.144410610198975,-46.10593795776367
-3.7897043228149414,-46.10593795776367
-3.4716503620147705,-46.10593795776367
-3.1555490493774414,-46.10593795776367
-2.894958734512329,-46.10593795776367
-2.596801996231079,-46.10593795776367
-2.247802257537842,-46.10593795776367
-1.7532349824905396,-46.10593795776367
-1.2061767578125,-46.10593795776367
-0.6733703017234802,-46.10593795776367
-0.22283929586410522,-46.10593795776367
0.21171331405639648,-46.10593795776367
0.6343329548835754,-46.10593795776367
1.239430546760559,-46.10593795776367
1.8826165199279785,-46.10593795776367
2.5851809978485107,-46.10593795776367
3.25374436378479,-46.10593795776367
3.841655969619751,-46.10593795776367
4.370366096496582,-46.10593795776367
4.91380500793457,-46.10593795776367
5.62148904800415,-46.10593795776367
6.698109149932861,-46.10593795776367
7.836730003356934,-46.10593795776367
8.615180015563965,-46.10593795776367
9.262382507324219,-46.10593795776367
9.913619995117188,-46.10593795776367
10.724876403808594,-46.10593795776367
11.672337532043457,-46.10593795776367
12.69771671295166,-46.10593795776367
13.569180488586426,-46.10593795776367
14.36745548248291,-46.10593795776367
15.199719429016113,-46.10593795776367
16.212053298950195,-46.10593795776367
17.29253387451172,-46.10593795776367
18.406713485717773,-46.10593795776367
19.451391220092773,-46.10593795776367
20.356355667114258,-46.10593795776367
21.269550323486328,-46.10593795776367
22.498600006103516,-46.10593795776367
24.012470245361328,-46.10593795776367
27.326873779296875,-46.10593795776367
28.50899887084961,-46.10593795776367
29.671463012695312,-46.10593795776367
31.04195785522461,-46.10593795776367
32.36193084716797,-46.10593795776367
33.55753707885742,-46.10593795776367
34.70670700073242,-46.10593795776367
36.05252456665039,-46.10593795776367
37.50343322753906,-46.10593795776367
39.01490783691406,-46.10593795776367
40.3599967956543,-46.10593795776367
41.677101135253906,-46.10593795776367
42.928070068359375,-46.10593795776367
44.45637893676758,-46.10593795776367
46.38715362548828,-46.10593795776367
48.03348159790039,-46.10593795776367
49.57093811035156,-46.10593795776367
50.91866683959961,-46.10593795776367
52.40279006958008,-46.10593795776367
54.113059997558594,-46.10593795776367
55.92951965332031,-46.10593795776367
57.77705764770508,-46.10593795776367
59.607234954833984,-46.10593795776367
61.25459289550781,-46.10593795776367
62.73579788208008,-46.10593795776367
64.00970458984375,-46.10593795776367
65.07685089111328,-46.10593795776367
66.01307678222656,-46.10593795776367
66.83189392089844,-46.10593795776367
67.66275787353516,-46.10593795776367
68.74066925048828,-46.10593795776367
69.80135345458984,-46.10593795776367
70.81729888916016,-46.10593795776367
71.63306427001953,-46.10593795776367
72.28514099121094,-46.10593795776367
72.91065979003906,-46.10593795776367
73.54463958740234,-46.10593795776367
74.30999755859375,-46.10593795776367
75.06986999511719,-46.10593795776367
75.77342224121094,-46.10593795776367
76.38300323486328,-46.10593795776367
76.93881225585938,-46.10593795776367
77.39575958251953,-46.10593795776367
77.89289093017578,-46.10593795776367
78.36247253417969,-46.10593795776367
78.9866714477539,-46.10593795776367
79.66854095458984,-46.10593795776367
80.18610382080078,-46.10593795776367
80.57168579101562,-46.10593795776367
80.90727996826172,-46.10593795776367
81.26795959472656,-46.10593795776367
81.69229888916016,-46.10593795776367
82.1332778930664,-46.10593795776367
82.57950592041016,-46.10593795776367
82.99527740478516,-46.10593795776367
83.2774887084961,-46.10593795776367
83.4809341430664,-46.10593795776367
83.7330551147461,-46.10593795776367
84.06877136230469,-46.10593795776367
84.3785629272461,-46.10593795776367
84.67184448242188,-89.35775756835938
84.91787719726562,-89.35775756835938
85.13218688964844,-89.35775756835938
85.30050659179688,-89.35775756835938
85.53043365478516,-89.35775756835938
85.80003356933594,-89.35775756835938
86.03243255615234,-89.35775756835938
86.22015380859375,-89.35775756835938
86.38179016113281,-89.35775756835938
86.51986694335938,-89.35775756835938
86.63204193115234,-89.35775756835938
86.73082733154297,-89.35775756835938
86.89202880859375,-89.35775756835938
87.09735870361328,-89.35775756835938
87.28266143798828,-89.35775756835938
87.40248107910156,-89.35775756835938
87.49278259277344,-89.35775756835938
87.58198547363281,-89.35775756835938
87.66008758544922,-89.35775756835938
87.71575164794922,-89.35775756835938
87.87483215332031,-89.35775756835938
88.02761840820312,-89.36141967773438
88.13419342041016,-89.35628509521484
88.2110824584961,-89.34870147705078
88.27062225341797,-89.33293914794922
88.32355499267578,-89.30583953857422
88.43254852294922,-89.26455688476562
88.55096435546875,-89.23098754882812
88.64008331298828,-89.21060943603516
88.71066284179688,-89.1737060546875
88.77543640136719,-89.12774658203125
88.81355285644531,-89.09716796875
88.83431243896484,-89.0706787109375
88.86325073242188,-89.04486083984375
88.8934555053711,-89.02355194091797
88.97835540771484,-88.99369049072266
89.07284545898438,-88.96162414550781
89.12639617919922,-88.93106079101562
89.15139770507812,-88.89946746826172
89.18243408203125,-88.86553955078125
89.21208190917969,-88.83281707763672
89.2395248413086,-88.80052947998047
89.3133544921875,-88.76972961425781
89.37068939208984,-88.73811340332031
89.41573333740234,-88.74715423583984
89.4503402709961,-88.75823974609375
89.47993469238281,-88.7517318725586
89.50025177001953,-88.74453735351562
89.50394439697266,-88.73725891113281
89.51824188232422,-88.73052978515625
89.56879425048828,-88.7242431640625
89.63996887207031,-88.71788787841797
89.66553497314453,-88.71157836914062
89.68350982666016,-88.70580291748047
89.69693756103516,-88.7010269165039
89.70992279052734,-88.66661834716797
89.75150299072266,-88.634033203125
89.7893295288086,-88.61273956298828
89.81941986083984,-88.59588623046875
89.84265899658203,-88.58135223388672
89.86275482177734,-88.56816864013672
89.88069152832031,-88.55391693115234
89.9055404663086,-88.54175567626953
89.89027404785156,-88.53106689453125
89.91637420654297,-88.52190399169922
89.92513275146484,-88.47101593017578
89.93767547607422,-88.38656616210938
89.95133209228516,-88.3070068359375
89.9637222290039,-88.2379150390625
89.97602081298828,-88.17461395263672
89.97410583496094,-88.10711669921875
89.9946060180664,-88.04524230957031
89.9742660522461,-87.99687957763672
89.97164916992188,-87.95160675048828
89.97773742675781,-87.81880187988281
89.98705291748047,-87.65753173828125
89.99623107910156,-87.45989227294922
90.01853942871094,-87.3293228149414
90.0159683227539,-87.19933319091797
90.01436614990234,-86.98907470703125
90.00552368164062,-86.73152923583984
89.99363708496094,-86.49461364746094
89.98535919189453,-86.30081939697266
89.96990966796875,-86.10469818115234
89.954833984375,-85.93002319335938
89.93623352050781,-85.70896911621094
89.9388427734375,-85.38321685791016
89.92658996582031,-85.11383819580078
89.91231536865234,-84.8382568359375
89.9056167602539,-84.64871978759766
89.90331268310547,-84.4291000366211
89.90252685546875,-84.14714813232422
89.90249633789062,-83.8004150390625
89.90326690673828,-83.46649169921875
89.9179458618164,-83.18596649169922
89.90532684326172,-82.9271469116211
89.89249420166016,-82.750732421875
89.88553619384766,-82.53398132324219
89.87886047363281,-82.40730285644531
89.87201690673828,-82.18828582763672
89.86392974853516,-81.95382690429688
89.85062408447266,-81.634033203125
89.85797119140625,-81.38548278808594
89.87080383300781,-81.09513092041016
89.88677978515625,-80.88780212402344
89.89217376708984,-80.64734649658203
89.87708282470703,-80.35926055908203
89.84037017822266,-80.02427673339844
89.83341979980469,-79.68022918701172
89.83790588378906,-79.40336608886719
89.8418960571289,-79.10478973388672
89.84541320800781,-78.87454223632812
89.8485107421875,-78.611083984375
89.85132598876953,-78.39727020263672
89.85408020019531,-78.20852661132812
