benign_locationx,benign_locationy,replay_locationx,replay_locationy
-66.89014434814453,-41.81916809082031,-72.45771789550781,-57.66669845581055
-66.89013671875,-41.81916809082031,-72.28834533691406,-57.68095397949219
-66.89027404785156,-41.81914520263672,-72.10450744628906,-57.69590759277344
-66.8902359008789,-41.819149017333984,-71.91618347167969,-57.710853576660156
-66.89034271240234,-41.81912612915039,-71.73001861572266,-57.72535705566406
-66.89032745361328,-41.819129943847656,-71.53093719482422,-57.74064254760742
-66.89016723632812,-41.81911849975586,-71.3191909790039,-57.75667953491211
-66.890380859375,-41.819114685058594,-71.09910583496094,-57.77312469482422
-66.89061737060547,-41.81913375854492,-70.88566589355469,-57.78691864013672
-66.89083099365234,-41.81899642944336,-70.6602783203125,-57.79945373535156
-66.89122009277344,-41.81912612915039,-70.43598175048828,-57.81181335449219
-66.89149475097656,-41.81909942626953,-70.19536590576172,-57.82487106323242
-66.8915786743164,-41.81908416748047,-69.97216796875,-57.83673858642578
-66.89147186279297,-41.81910705566406,-69.73687744140625,-57.84739685058594
-66.89148712158203,-41.819091796875,-69.481201171875,-57.85565185546875
-66.8914566040039,-41.819095611572266,-69.20771026611328,-57.86269760131836
-66.89142608642578,-41.81910705566406,-68.95403289794922,-57.86845016479492
-66.8914794921875,-41.81910705566406,-68.6906967163086,-57.87372970581055
-66.8915786743164,-41.81908416748047,-68.39219665527344,-57.876365661621094
-66.8916015625,-41.81907653808594,-68.1183853149414,-57.87415313720703
-66.89161682128906,-41.81907653808594,-67.86802673339844,-57.86969757080078
-66.89168548583984,-41.819091796875,-67.62171936035156,-57.86417007446289
-66.89212036132812,-41.81902313232422,-67.37096405029297,-57.85725021362305
-66.89240264892578,-41.81907653808594,-67.12045288085938,-57.84913635253906
-66.89234924316406,-41.81907272338867,-66.87940979003906,-57.840354919433594
-66.8924331665039,-41.81905746459961,-66.6236572265625,-57.83027648925781
-66.89251708984375,-41.81900405883789,-66.37516784667969,-57.818050384521484
-66.89247131347656,-41.81901168823242,-66.1289291381836,-57.800838470458984
-66.89241790771484,-41.81902313232422,-65.87334442138672,-57.77843475341797
-66.89263916015625,-41.81865692138672,-65.61593627929688,-57.75337219238281
-66.89303588867188,-41.81904602050781,-65.36235809326172,-57.72711181640625
-66.89320373535156,-41.81901931762695,-65.10334014892578,-57.69894027709961
-66.89342498779297,-41.81901168823242,-64.77864837646484,-57.65864181518555
-66.89348602294922,-41.81899642944336,-64.48171997070312,-57.6140022277832
-66.89352416992188,-41.818973541259766,-64.18611907958984,-57.56398391723633
-66.89358520507812,-41.81899642944336,-63.896976470947266,-57.51176071166992
